species	longitude	latitude
Streptanthus_tortuosus	-119.74	37.87
Streptanthus_tortuosus	-119.26	37.92
Streptanthus_tortuosus	-123.46	41.07
Streptanthus_tortuosus	-118.66	36.59
Streptanthus_tortuosus	-119.3	37.95
Streptanthus_tortuosus	-118.56	36.45
Streptanthus_tortuosus	-119.09	37.6
Streptanthus_tortuosus	-120.35	38.07
Streptanthus_tortuosus	-123.56	40.61
Streptanthus_tortuosus	-119.93	38.61
Streptanthus_tortuosus	-119.27	37.97
Streptanthus_tortuosus	-122.59	41.83
Streptanthus_tortuosus	-122.49	40.76
Streptanthus_tortuosus	-120.63	39.3
Streptanthus_tortuosus	-122.41	40.74
Streptanthus_tortuosus	-123.13	40.77
Streptanthus_tortuosus	-120.01	38.2
Streptanthus_tortuosus	-120.11	38.95
Streptanthus_tortuosus	-120.21	38.89
Streptanthus_tortuosus	-118.86	37.59
Streptanthus_tortuosus	-120.39	39.32
Streptanthus_tortuosus	-120.66	39.68
Streptanthus_tortuosus	-123.52	41.49
Streptanthus_tortuosus	-122.23	41.35
Streptanthus_tortuosus	-119.46	37.83
Streptanthus_tortuosus	-120.37	39.38
Streptanthus_tortuosus	-119.28	38.06
Streptanthus_tortuosus	-120.68	39.7
Streptanthus_tortuosus	-120.12	38.83
Streptanthus_tortuosus	-118.65	37.23
Streptanthus_tortuosus	-119.12	37.69
Streptanthus_tortuosus	-120.24	38.85
Streptanthus_tortuosus	-120.02	37.34
Streptanthus_tortuosus	-120.02	37.35
Streptanthus_tortuosus	-120	38.48
Streptanthus_tortuosus	-122.99	41.4
Streptanthus_tortuosus	-119.81	38.56
Streptanthus_tortuosus	-119.46	37.25
Streptanthus_tortuosus	-118.99	37.36
Streptanthus_tortuosus	-119.18	37.28
Streptanthus_tortuosus	-123.47	41.08
Streptanthus_tortuosus	-119.27	37.74
Streptanthus_tortuosus	-121.52	40.47
Streptanthus_tortuosus	-120	38.46
Streptanthus_tortuosus	-123.23	40.95
Streptanthus_tortuosus	-119.43	37.99
Streptanthus_tortuosus	-119.33	37.82
Streptanthus_tortuosus	-120.3	37.81
Streptanthus_tortuosus	-120.57	37.9
Streptanthus_tortuosus	-120.48	37.91
Streptanthus_tortuosus	-119.69	37.72
Streptanthus_tortuosus	-119.7	37.64
Streptanthus_tortuosus	-119.58	37.72
Streptanthus_tortuosus	-120.42	38.92
Streptanthus_tortuosus	-119.83	38.28
Streptanthus_tortuosus	-119.54	37.76
Streptanthus_tortuosus	-119.35	37.88
Streptanthus_tortuosus	-120.63	38.34
Streptanthus_tortuosus	-119.65	38.21
Streptanthus_tortuosus	-119.74	38.15
Streptanthus_tortuosus	-118.62	36.86
Streptanthus_tortuosus	-118.7	37.05
Streptanthus_tortuosus	-123.77	41.06
Streptanthus_tortuosus	-118.96	37.28
Streptanthus_tortuosus	-120.07	38.07
